refcode	metal	total_charge	spin_multiplicity	elem_nr	m_ox	d_elec	CN	geometry	rel_m
POWROJ	Mn	1	6	25	2	5	6	Octahedral	1.091
JOXCOQ	Mn	0	6	25	2	5	6	Octahedral	1.115
KEFQOC	Mn	1	6	25	2	5	6	Octahedral	1.1
TEBVIH	Mn	2	6	25	2	5	6	Octahedral	1.145
YANKOQ	Mn	2	6	25	2	5	6	Octahedral	1.122
TIKYOC	Mn	0	6	25	2	5	6	Octahedral	1.15
ITERIJ	Mn	0	6	25	2	5	6	Octahedral	1.104
LEPSEF	Mn	1	6	25	2	5	6	Octahedral	1.096
SOHKEG	Mn	0	6	25	2	5	6	Octahedral	1.135
AMATEQ	Mn	-2	6	25	2	5	6	Octahedral	1.088
PAYVAO	Mn	2	6	25	2	5	6	Octahedral	1.11
IWOWEX	Mn	0	6	25	2	5	6	Octahedral	1.101
ZEHPAD	Mn	0	6	25	2	5	6	Octahedral	1.112
LILBOY	Mn	0	6	25	2	5	6	Octahedral	1.104
LEXQAG	Mn	0	6	25	2	5	6	Octahedral	1.143
SOHJIJ	Mn	0	6	25	2	5	6	Octahedral	1.117
YOYVOY	Mn	0	6	25	2	5	6	Octahedral	1.102
UMIPIP	Mn	2	6	25	2	5	6	Octahedral	1.109
FUWVOJ	Mn	0	6	25	2	5	6	Octahedral	1.101
QOLZOH	Mn	0	6	25	2	5	6	Octahedral	1.115
EQEFAI	Mn	0	6	25	2	5	6	Octahedral	1.103
LOYYUT	Mn	0	6	25	2	5	6	Octahedral	1.108
PEJCOZ	Mn	0	6	25	2	5	6	Octahedral	1.146
WAMLEC	Mn	0	6	25	2	5	6	Octahedral	1.089
JIPDUI	Mn	0	6	25	2	5	6	Octahedral	1.101
FESXOQ	Mn	0	6	25	2	5	6	Octahedral	1.094
CETGOX	Mn	2	6	25	2	5	6	Octahedral	1.113
PIKZIT	Mn	0	6	25	2	5	6	Octahedral	1.118
OMIXAL	Mn	0	6	25	2	5	6	Octahedral	1.112
AQSUMN	Mn	0	6	25	2	5	6	Octahedral	1.086
QOYWIN	Mn	0	6	25	2	5	6	Octahedral	1.037
TECFIR	Mn	0	6	25	2	5	6	Octahedral	1.09
TOLMEO	Mn	0	6	25	2	5	6	Octahedral	1.094
BEMWUM	Mn	2	6	25	2	5	6	Octahedral	1.091
AGUBAF	Mn	0	6	25	2	5	6	Octahedral	1.085
AGLCMN	Mn	0	6	25	2	5	6	Octahedral	1.086
WIFSEJ	Mn	0	6	25	2	5	6	Octahedral	1.094
IFOPAU	Mn	-1	6	25	2	5	6	Octahedral	1.087
NEHWIH	Mn	0	6	25	2	5	6	Octahedral	1.122
CAHGAW	Mn	0	6	25	2	5	6	Trigonal prismatic	1.117
KIYWAR	Mn	0	6	25	2	5	6	Trigonal prismatic	1.137
MAMCOS	Mn	1	6	25	2	5	6	Trigonal prismatic	1.114
WULSIF	Mn	1	6	25	2	5	6	Trigonal prismatic	1.108
VAVDOM	Mn	1	6	25	2	5	6	Trigonal prismatic	1.105
EVOJEE	Mn	2	6	25	2	5	6	Trigonal prismatic	1.135
FAHFUQ	Mn	1	6	25	2	5	6	Trigonal prismatic	1.113
OMUHAG	Mn	0	6	25	2	5	6	Trigonal prismatic	1.135
XEHYER	Mn	0	6	25	2	5	6	Trigonal prismatic	1.162
RAFLIV	Mn	0	6	25	2	5	6	Trigonal prismatic	1.119
UYAHOS	Mn	0	6	25	2	5	6	Trigonal prismatic	1.099
TOPKAM	Mn	0	6	25	2	5	6	Trigonal prismatic	1.165
BIPJER	Mn	-2	6	25	2	5	6	Trigonal prismatic	1.096
LERZOX	Mn	0	6	25	2	5	6	Trigonal prismatic	1.117
SOMTIY	Mn	1	6	25	2	5	7	Capped trigonal prismatic	1.197
TAVWAP	Mn	1	6	25	2	5	7	Capped trigonal prismatic	1.179
TAFTAV	Mn	2	6	25	2	5	7	Capped trigonal prismatic	1.189
HIXZUJ	Mn	2	6	25	2	5	7	Capped trigonal prismatic	1.179
ROPBON	Mn	2	6	25	2	5	7	Capped trigonal prismatic	1.171
WAXJIQ	Mn	0	6	25	2	5	7	Capped trigonal prismatic	1.165
SAFTUP	Mn	0	6	25	2	5	7	Capped trigonal prismatic	1.171
SAFTID	Mn	0	6	25	2	5	7	Capped trigonal prismatic	1.168
ZEBCEQ	Mn	0	6	25	2	5	7	Capped trigonal prismatic	1.17
SAFTOJ	Mn	0	6	25	2	5	7	Capped trigonal prismatic	1.171
